Step = 327; E = -1192.837808; F_norm = 5.119719876
Step = 328; E = -1192.84723; F_norm = 5.111188982
Step = 329; E = -1192.856636; F_norm = 5.102672598
Step = 330; E = -1192.866026; F_norm = 5.094170699
Step = 331; E = -1192.875401; F_norm = 5.08568326
Step = 332; E = -1192.884759; F_norm = 5.077210255
Step = 333; E = -1192.894102; F_norm = 5.068751658
Step = 334; E = -1192.903429; F_norm = 5.060307444
Step = 335; E = -1192.91274; F_norm = 5.051877587
Step = 336; E = -1192.922036; F_norm = 5.043462062
Step = 337; E = -1192.931315; F_norm = 5.035060844
Step = 338; E = -1192.940579; F_norm = 5.026673907
Step = 339; E = -1192.949828; F_norm = 5.018301227
Step = 340; E = -1192.959061; F_norm = 5.009942778
Step = 341; E = -1192.968278; F_norm = 5.001598534
Step = 342; E = -1192.97748; F_norm = 4.993268471
Step = 343; E = -1192.986666; F_norm = 4.984952564
Step = 344; E = -1192.995837; F_norm = 4.976650788
Step = 345; E = -1193.004992; F_norm = 4.968363117
Step = 346; E = -1193.014131; F_norm = 4.960089527
Step = 347; E = -1193.023256; F_norm = 4.951829994
Step = 348; E = -1193.032365; F_norm = 4.943584491
Step = 349; E = -1193.041458; F_norm = 4.935352995
Step = 350; E = -1193.050536; F_norm = 4.927135481
Step = 351; E = -1193.059599; F_norm = 4.918931923
Step = 352; E = -1193.068647; F_norm = 4.910742298
Step = 353; E = -1193.077679; F_norm = 4.902566581
Step = 354; E = -1193.086696; F_norm = 4.894404748
Step = 355; E = -1193.095698; F_norm = 4.886256773
Step = 356; E = -1193.104685; F_norm = 4.878122632
Step = 357; E = -1193.113656; F_norm = 4.870002302
Step = 358; E = -1193.122613; F_norm = 4.861895757
Step = 359; E = -1193.131554; F_norm = 4.853802974
Step = 360; E = -1193.14048; F_norm = 4.845723928
Step = 361; E = -1193.149391; F_norm = 4.837658594
Step = 362; E = -1193.158287; F_norm = 4.82960695
Step = 363; E = -1193.167169; F_norm = 4.82156897
Step = 364; E = -1193.176035; F_norm = 4.81354463
Step = 365; E = -1193.184886; F_norm = 4.805533908
Step = 366; E = -1193.193722; F_norm = 4.797536777
Step = 367; E = -1193.202544; F_norm = 4.789553216
Step = 368; E = -1193.21135; F_norm = 4.781583199
Step = 369; E = -1193.220142; F_norm = 4.773626703
Step = 370; E = -1193.228919; F_norm = 4.765683704
Step = 371; E = -1193.237681; F_norm = 4.757754178
Step = 372; E = -1193.246428; F_norm = 4.749838102
Step = 373; E = -1193.255161; F_norm = 4.741935452
Step = 374; E = -1193.263878; F_norm = 4.734046205
Step = 375; E = -1193.272581; F_norm = 4.726170336
Step = 376; E = -1193.28127; F_norm = 4.718307822
Step = 377; E = -1193.289944; F_norm = 4.71045864
Step = 378; E = -1193.298603; F_norm = 4.702622766
Step = 379; E = -1193.307248; F_norm = 4.694800178
Step = 380; E = -1193.315878; F_norm = 4.68699085
Step = 381; E = -1193.324493; F_norm = 4.679194761
Step = 382; E = -1193.333094; F_norm = 4.671411887
Step = 383; E = -1193.341681; F_norm = 4.663642205
Step = 384; E = -1193.350253; F_norm = 4.655885691
Step = 385; E = -1193.35881; F_norm = 4.648142323
Step = 386; E = -1193.367354; F_norm = 4.640412077
Step = 387; E = -1193.375883; F_norm = 4.63269493
Step = 388; E = -1193.384397; F_norm = 4.62499086
Step = 389; E = -1193.392897; F_norm = 4.617299843
Step = 390; E = -1193.401383; F_norm = 4.609621856
Step = 391; E = -1193.409854; F_norm = 4.601956877
Step = 392; E = -1193.418312; F_norm = 4.594304882
Step = 393; E = -1193.426755; F_norm = 4.586665849
Step = 394; E = -1193.435184; F_norm = 4.579039755
Step = 395; E = -1193.443598; F_norm = 4.571426578
Step = 396; E = -1193.451999; F_norm = 4.563826295
Step = 397; E = -1193.460385; F_norm = 4.556238882
Step = 398; E = -1193.468757; F_norm = 4.548664318
Step = 399; E = -1193.477115; F_norm = 4.54110258
Step = 400; E = -1193.485459; F_norm = 4.533553646
Step = 401; E = -1193.493789; F_norm = 4.526017493
Step = 402; E = -1193.502105; F_norm = 4.518494098
Step = 403; E = -1193.510407; F_norm = 4.510983439
Step = 404; E = -1193.518695; F_norm = 4.503485495
Step = 405; E = -1193.52697; F_norm = 4.496000242
Step = 406; E = -1193.53523; F_norm = 4.488527658
Step = 407; E = -1193.543476; F_norm = 4.481067722
Step = 408; E = -1193.551708; F_norm = 4.473620411
Step = 409; E = -1193.559927; F_norm = 4.466185703
Step = 410; E = -1193.568132; F_norm = 4.458763575
Step = 411; E = -1193.576323; F_norm = 4.451354006
Step = 412; E = -1193.5845; F_norm = 4.443956974
Step = 413; E = -1193.592663; F_norm = 4.436572457
Step = 414; E = -1193.600813; F_norm = 4.429200433
Step = 415; E = -1193.608949; F_norm = 4.42184088
Step = 416; E = -1193.617071; F_norm = 4.414493776
Step = 417; E = -1193.62518; F_norm = 4.4071591
Step = 418; E = -1193.633275; F_norm = 4.399836829
Step = 419; E = -1193.641356; F_norm = 4.392526942
Step = 420; E = -1193.649424; F_norm = 4.385229417
Step = 421; E = -1193.657478; F_norm = 4.377944234
Step = 422; E = -1193.665519; F_norm = 4.370671369
Step = 423; E = -1193.673546; F_norm = 4.363410801
Step = 424; E = -1193.68156; F_norm = 4.35616251
Step = 425; E = -1193.68956; F_norm = 4.348926473
Step = 426; E = -1193.697547; F_norm = 4.341702669
Step = 427; E = -1193.70552; F_norm = 4.334491077
Step = 428; E = -1193.71348; F_norm = 4.327291676
Step = 429; E = -1193.721426; F_norm = 4.320104443
Step = 430; E = -1193.72936; F_norm = 4.312929358
Step = 431; E = -1193.737279; F_norm = 4.3057664
Step = 432; E = -1193.745186; F_norm = 4.298615547
Step = 433; E = -1193.753079; F_norm = 4.291476778
Step = 434; E = -1193.760959; F_norm = 4.284350073
Step = 435; E = -1193.768826; F_norm = 4.277235409
Step = 436; E = -1193.77668; F_norm = 4.270132766
Step = 437; E = -1193.78452; F_norm = 4.263042124
Step = 438; E = -1193.792347; F_norm = 4.25596346
Step = 439; E = -1193.800161; F_norm = 4.248896754
Step = 440; E = -1193.807962; F_norm = 4.241841986
Step = 441; E = -1193.81575; F_norm = 4.234799134
Step = 442; E = -1193.823525; F_norm = 4.227768177
Step = 443; E = -1193.831287; F_norm = 4.220749095
Step = 444; E = -1193.839035; F_norm = 4.213741868
Step = 445; E = -1193.846771; F_norm = 4.206746474
Step = 446; E = -1193.854494; F_norm = 4.199762892
Step = 447; E = -1193.862203; F_norm = 4.192791103
Step = 448; E = -1193.8699; F_norm = 4.185831085
Step = 449; E = -1193.877584; F_norm = 4.178882818
Step = 450; E = -1193.885255; F_norm = 4.171946282
Step = 451; E = -1193.892913; F_norm = 4.165021456
Step = 452; E = -1193.900558; F_norm = 4.158108319
Step = 453; E = -1193.90819; F_norm = 4.151206852
Step = 454; E = -1193.91581; F_norm = 4.144317034
Step = 455; E = -1193.923417; F_norm = 4.137438844
Step = 456; E = -1193.931011; F_norm = 4.130572263
Step = 457; E = -1193.938592; F_norm = 4.123717269
Step = 458; E = -1193.94616; F_norm = 4.116873844
